precinct,Month,ComplainCount,ArrestCount,Borough
72.0,1,97,177,BROOKLYN
72.0,2,96,197,BROOKLYN
72.0,3,126,250,BROOKLYN
72.0,4,130,249,BROOKLYN
72.0,5,316,239,BROOKLYN
72.0,6,391,196,BROOKLYN
72.0,7,314,160,BROOKLYN
72.0,8,241,198,BROOKLYN
72.0,9,347,168,BROOKLYN
72.0,10,240,233,BROOKLYN
72.0,11,102,225,BROOKLYN
72.0,12,129,231,BROOKLYN
75.0,1,198,663,BROOKLYN
75.0,2,218,721,BROOKLYN
75.0,3,213,818,BROOKLYN
75.0,4,292,751,BROOKLYN
75.0,5,498,725,BROOKLYN
75.0,6,641,709,BROOKLYN
75.0,7,654,699,BROOKLYN
75.0,8,477,703,BROOKLYN
75.0,9,559,617,BROOKLYN
75.0,10,260,697,BROOKLYN
75.0,11,211,612,BROOKLYN
75.0,12,200,596,BROOKLYN
76.0,1,23,138,BROOKLYN
76.0,2,29,116,BROOKLYN
76.0,3,54,148,BROOKLYN
76.0,4,60,139,BROOKLYN
76.0,5,87,149,BROOKLYN
76.0,6,135,141,BROOKLYN
76.0,7,80,151,BROOKLYN
76.0,8,76,161,BROOKLYN
76.0,9,64,156,BROOKLYN
76.0,10,64,165,BROOKLYN
76.0,11,43,126,BROOKLYN
76.0,12,51,172,BROOKLYN
77.0,1,316,276,BROOKLYN
77.0,2,236,240,BROOKLYN
77.0,3,312,308,BROOKLYN
77.0,4,423,279,BROOKLYN
77.0,5,555,281,BROOKLYN
77.0,6,612,284,BROOKLYN
77.0,7,610,253,BROOKLYN
77.0,8,553,284,BROOKLYN
77.0,9,632,234,BROOKLYN
77.0,10,378,347,BROOKLYN
77.0,11,201,250,BROOKLYN
77.0,12,258,297,BROOKLYN
78.0,1,108,144,BROOKLYN
78.0,2,62,153,BROOKLYN
78.0,3,117,185,BROOKLYN
78.0,4,131,145,BROOKLYN
78.0,5,217,183,BROOKLYN
78.0,6,216,140,BROOKLYN
78.0,7,158,128,BROOKLYN
78.0,8,203,134,BROOKLYN
78.0,9,234,173,BROOKLYN
78.0,10,200,166,BROOKLYN
78.0,11,85,145,BROOKLYN
78.0,12,105,167,BROOKLYN
79.0,1,183,364,BROOKLYN
79.0,2,192,326,BROOKLYN
79.0,3,281,334,BROOKLYN
79.0,4,472,311,BROOKLYN
79.0,5,621,261,BROOKLYN
79.0,6,836,291,BROOKLYN
79.0,7,612,266,BROOKLYN
79.0,8,556,305,BROOKLYN
79.0,9,585,312,BROOKLYN
79.0,10,429,285,BROOKLYN
79.0,11,250,355,BROOKLYN
79.0,12,344,293,BROOKLYN
81.0,1,75,331,BROOKLYN
81.0,2,99,278,BROOKLYN
81.0,3,132,268,BROOKLYN
81.0,4,156,253,BROOKLYN
81.0,5,270,238,BROOKLYN
81.0,6,366,222,BROOKLYN
81.0,7,292,219,BROOKLYN
81.0,8,300,296,BROOKLYN
81.0,9,311,232,BROOKLYN
81.0,10,210,223,BROOKLYN
81.0,11,146,241,BROOKLYN
81.0,12,117,203,BROOKLYN
83.0,1,333,296,BROOKLYN
83.0,2,380,305,BROOKLYN
83.0,3,400,295,BROOKLYN
83.0,4,569,242,BROOKLYN
83.0,5,931,321,BROOKLYN
83.0,6,973,271,BROOKLYN
83.0,7,842,223,BROOKLYN
83.0,8,730,259,BROOKLYN
83.0,9,798,218,BROOKLYN
83.0,10,714,268,BROOKLYN
83.0,11,428,232,BROOKLYN
83.0,12,431,205,BROOKLYN
84.0,1,41,300,BROOKLYN
84.0,2,42,289,BROOKLYN
84.0,3,53,323,BROOKLYN
84.0,4,88,298,BROOKLYN
84.0,5,128,326,BROOKLYN
84.0,6,175,315,BROOKLYN
84.0,7,89,194,BROOKLYN
84.0,8,114,326,BROOKLYN
84.0,9,147,247,BROOKLYN
84.0,10,111,251,BROOKLYN
84.0,11,88,259,BROOKLYN
84.0,12,71,295,BROOKLYN
88.0,1,120,153,BROOKLYN
88.0,2,146,178,BROOKLYN
88.0,3,138,201,BROOKLYN
88.0,4,323,165,BROOKLYN
88.0,5,299,168,BROOKLYN
88.0,6,341,141,BROOKLYN
88.0,7,275,111,BROOKLYN
