Location Type,precinct,Month,ComplainCount
Club/Bar/Restaurant,69.0,11,9
Club/Bar/Restaurant,69.0,12,2
Club/Bar/Restaurant,70.0,1,5
Club/Bar/Restaurant,70.0,2,3
Club/Bar/Restaurant,70.0,3,12
Club/Bar/Restaurant,70.0,4,3
Club/Bar/Restaurant,70.0,5,19
Club/Bar/Restaurant,70.0,6,3
Club/Bar/Restaurant,70.0,7,2
Club/Bar/Restaurant,70.0,8,2
Club/Bar/Restaurant,70.0,9,9
Club/Bar/Restaurant,70.0,10,10
Club/Bar/Restaurant,70.0,11,10
Club/Bar/Restaurant,70.0,12,8
Club/Bar/Restaurant,71.0,1,2
Club/Bar/Restaurant,71.0,2,2
Club/Bar/Restaurant,71.0,3,3
Club/Bar/Restaurant,71.0,4,6
Club/Bar/Restaurant,71.0,5,13
Club/Bar/Restaurant,71.0,6,6
Club/Bar/Restaurant,71.0,7,8
Club/Bar/Restaurant,71.0,8,3
Club/Bar/Restaurant,71.0,9,6
Club/Bar/Restaurant,71.0,10,5
Club/Bar/Restaurant,71.0,11,12
Club/Bar/Restaurant,71.0,12,3
Club/Bar/Restaurant,72.0,1,7
Club/Bar/Restaurant,72.0,2,8
Club/Bar/Restaurant,72.0,3,7
Club/Bar/Restaurant,72.0,4,9
Club/Bar/Restaurant,72.0,5,27
Club/Bar/Restaurant,72.0,6,14
Club/Bar/Restaurant,72.0,7,5
Club/Bar/Restaurant,72.0,8,2
Club/Bar/Restaurant,72.0,9,10
Club/Bar/Restaurant,72.0,10,12
Club/Bar/Restaurant,72.0,11,17
Club/Bar/Restaurant,72.0,12,15
Club/Bar/Restaurant,73.0,2,2
Club/Bar/Restaurant,73.0,6,1
Club/Bar/Restaurant,73.0,7,1
Club/Bar/Restaurant,73.0,8,1
Club/Bar/Restaurant,73.0,10,3
Club/Bar/Restaurant,73.0,11,1
Club/Bar/Restaurant,75.0,1,3
Club/Bar/Restaurant,75.0,2,6
Club/Bar/Restaurant,75.0,3,5
Club/Bar/Restaurant,75.0,4,6
Club/Bar/Restaurant,75.0,5,13
Club/Bar/Restaurant,75.0,6,22
Club/Bar/Restaurant,75.0,7,9
Club/Bar/Restaurant,75.0,8,12
Club/Bar/Restaurant,75.0,9,9
Club/Bar/Restaurant,75.0,10,16
Club/Bar/Restaurant,75.0,11,4
Club/Bar/Restaurant,75.0,12,10
Club/Bar/Restaurant,76.0,2,2
Club/Bar/Restaurant,76.0,3,1
Club/Bar/Restaurant,76.0,4,1
Club/Bar/Restaurant,76.0,5,13
Club/Bar/Restaurant,76.0,6,14
Club/Bar/Restaurant,76.0,7,1
Club/Bar/Restaurant,76.0,8,2
Club/Bar/Restaurant,76.0,9,8
Club/Bar/Restaurant,76.0,10,16
Club/Bar/Restaurant,76.0,11,8
Club/Bar/Restaurant,76.0,12,8
Club/Bar/Restaurant,77.0,1,33
Club/Bar/Restaurant,77.0,2,13
Club/Bar/Restaurant,77.0,3,16
Club/Bar/Restaurant,77.0,4,27
Club/Bar/Restaurant,77.0,5,36
Club/Bar/Restaurant,77.0,6,43
Club/Bar/Restaurant,77.0,7,35
Club/Bar/Restaurant,77.0,8,33
Club/Bar/Restaurant,77.0,9,37
